,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,AAPL
2015-08-11,0.0412874946238764,-0.0343355387332577,-0.0181984726680753,-0.0525340114013332,0.0027598223539154,0,0,0,0,0.4283468507394189
2015-08-12,0.0461483835463795,0.0114884585056694,-0.0022048045110448,0.0092836539946246,8.618623149190944e-05,0,0,0,0,0.5066711410611336
2015-08-13,0.0149083958658267,0.0080340515169836,0.005391247021378,0.0134252985383618,0.0001802386408441,0,0,0,0,0.170428888362286
2015-08-14,0.011738754856576,0.0077354694532406,-0.0142974423229305,-0.0065619728696897,4.305948794254415e-05,0,0,0,0,0.2510989670165496
2015-08-17,0.0183594337745879,0.0152779557396662,0.0010384216924812,0.0163163774321475,0.0002662241725082,0,0,0,0,0.1414929586875938
2015-08-18,0.0122511705788902,0.0041551602973549,-0.0078673229456201,-0.0037121626482652,1.3780151527175586e-05,0,0,0,0,0.1811856901925317
2015-08-19,0.0159172910760642,-0.0024110160802454,-0.0068214004323373,-0.0092324165125829,8.52375146618152e-05,0,0,0,0,0.2075655205740396
2015-08-20,0.0258814075214913,-0.0168351997970171,-0.0104966872179782,-0.027331887014995,0.0007470320478004,0,0,0,0,0.2908195091550659
2015-08-21,0.0377955986378965,-0.0329237625345104,-0.0090524717261959,-0.0419762342607064,0.0017620042427097,0,0,0,0,0.3084183551485069
2015-08-24,0.1479609223631042,-0.0272923147612597,-0.0038927050141007,-0.0311850197753607,0.0009725054583896,0,0,0,0,1.6400472723599593
2015-08-25,0.0264124366970042,-0.0067683577391859,0.034618497165841,0.027850139426655,0.0007756302660841,0,0,0,0,0.6208439354651799
2015-08-26,0.0301756545069294,-0.0027889321874122,-0.0071704921468345,-0.0099594243342466,9.919013306958494e-05,0,0,0,0,0.3562744512118049
